query,actual_ms,predicted_ms,p_slow,actual_label,predicted_label,error_ms
"SELECT u.display_name, MIN(v.vote_type_id) FROM users u JOIN posts p ON p.owner_user_id = u.id JOIN votes v ON v.post_id",548.45,297.8733294868781,0.9987974166870117,slow,slow,-250.57667051312194
"SELECT p.title, u.display_name FROM posts p JOIN users u ON p.owner_user_id = u.id WHERE p.creation_date > '2021-01-01' ",7.62,14.21688871169865,0.00027224727091379464,fast,fast,6.596888711698649
"SELECT u.display_name, SUM(p.view_count) FROM users u JOIN posts p ON p.owner_user_id = u.id JOIN votes v ON v.post_id =",429.67,297.8733294868781,0.9987974166870117,slow,slow,-131.7966705131219
"SELECT u.display_name, MAX(p.answer_count) FROM users u JOIN posts p ON p.owner_user_id = u.id JOIN votes v ON v.post_id",434.89,297.87275943178537,0.9987974166870117,slow,slow,-137.01724056821462
SELECT DISTINCT location FROM users,40.49,18.565685540195272,0.022256676107645035,fast,fast,-21.92431445980473
"SELECT u.display_name, p.title FROM users u JOIN posts p ON p.owner_user_id = u.id WHERE p.title LIKE '%ai%' OR u.displa",144.61,113.92128738843803,0.8202915191650391,slow,slow,-30.688712611561982
SELECT * FROM votes WHERE id > 0,27.94,37.21293884368937,0.011282551102340221,fast,fast,9.27293884368937
"SELECT u.display_name, SUM(p.answer_count) FROM users u JOIN posts p ON p.owner_user_id = u.id JOIN votes v ON v.post_id",309.37,297.87275943178537,0.9987974166870117,slow,slow,-11.497240568214636
SELECT * FROM users WHERE id = 66238,0.12,0.427537357905324,3.190965799149126e-06,fast,fast,0.307537357905324
"SELECT title, score, view_count FROM posts WHERE id = 3170",0.1,0.47073228015610913,1.4855557310511358e-05,fast,fast,0.37073228015610915
SELECT * FROM users WHERE id = 3906,0.05,0.427537357905324,3.190965799149126e-06,fast,fast,0.377537357905324
SELECT * FROM posts WHERE title LIKE '%linear%',10.15,22.515903458926648,0.00024948263308033347,fast,fast,12.365903458926647
"SELECT u.display_name, (SELECT COUNT(*) FROM posts p WHERE p.owner_user_id = u.id) AS post_count, (SELECT AVG(p.score) F",10000.0,9995.596859437876,0.9999593496322632,slow,slow,-4.403140562124463
"SELECT p.title, u.display_name FROM posts p JOIN users u ON p.owner_user_id = u.id WHERE u.location LIKE '%California%'",52.53,40.55930125420223,0.0028746293392032385,fast,fast,-11.970698745797769
"SELECT p.post_type_id, MAX(p.answer_count) FROM users u JOIN posts p ON p.owner_user_id = u.id JOIN votes v ON v.post_id",289.75,225.46734133370555,0.9960171580314636,slow,slow,-64.28265866629445
SELECT * FROM posts WHERE title LIKE '%bayesian%',18.61,22.523860610408484,0.00024744842085056007,fast,fast,3.9138606104084843
"SELECT display_name, reputation, (SELECT MAX(reputation) FROM users) as max_rep FROM users ORDER BY reputation DESC",180.38,713.1776252340017,0.9944384098052979,slow,slow,532.7976252340017
"SELECT u.location, COUNT(p.answer_count) FROM users u JOIN posts p ON p.owner_user_id = u.id JOIN votes v ON v.post_id =",168.32,230.96403018785784,0.9964816570281982,slow,slow,62.64403018785785
SELECT * FROM posts p JOIN users u ON p.owner_user_id = u.id ORDER BY p.score DESC,133.78,183.02974964043264,0.9847548007965088,slow,slow,49.24974964043264
SELECT * FROM users WHERE UPPER(display_name) = 'user',50.16,57.51390462698014,0.4052870273590088,fast,fast,7.353904626980146
